Ticket Number,Agent,Priority,Subject,Tags,Conversation Summary
5681,101037953612.0,2,PO037144 : V01226 - Cintoo US Inc.,"Billing, Purchase Order","Daniel Chamorro   Hello,     Invoice sent  Follow-up sales & Orion adjusted | Thank you Naomi,

We've processed your PO for Dalski Pty Ltd and they can now access our platform."
5680,101093299571.0,1,Fw: Cintoo and TVW,Download Unified 3D Meshes,"Omar Zerhouni Xavier Lamorlette FYI this sounds like a technical inquiry with how the texture maps a | Nicholas Czarnick      It would be more like a feature or technical, since not all tools have a prob | I confirm the issue!  I generated an FBX and tried to opened it with MeshLab:   Note that the versio | Xavier Lamorlette I can confirm that it depends on the tool. Tried with Rhino3D  Also tried with Aut | Hey Victor,     Omar and Xavier are investigating this inquiry from Trimble. They confirmed the issu"
5679,101037953612.0,2,Corteva PO (Upgrade/Renewal,Billing,"Luis Graterol      Hi Luis,   Can you confirm I should invoice the amount displayed in the PO ? Than | Hello,     Here is the drafted invoice (see below).  Can you confirm it's fine with you? Folow-up sa | Invoice sent"
5675,101037953612.0,2,Vesuvius order,Billing,"Simon Shaw   Hello,     Both invoices sent  2 tickets created on Jira  SSO implementation : 5675  Cu | Hi Simon, did you get details for SSO yet ?"
5673,101026576803.0,2,TR: Cintoo in Unreal,"Cintoo Cloud, Unreal Engine, Plugin","Leonardo Hidd Fonteles Nicholas Czarnick TotalEnergies wants to stream Cintoo Data to unreal. Can we | João-Carlos Pereira Fialho I don't advise to send the old plugin, it is buggy and it will the user y | Leonardo Hidd Fonteles  The team is currently on the model import and TurboMesh, for March 5th. I th | João-Carlos Pereira Fialho do you want to reply to Benoit? Let me know if you prefer otherwise. | Leonardo Hidd Fonteles I let you reply Leo, thank you. | Bonjour Benoit,  
   
   
   The plugging still is under development, that's why there's no document | Bonjour,

C'était pour le tester (on a un stagiaire qui fait des tests autour de la 3D).
Il y a a | Omar Zerhouni would it be OK to send the Unreal Plugin for a POC with an intern on TotalEnergies? Ca | If we want to share the current version of the plugin (with the dev ongoing), we MUST be clear on th | Hi all,  I completly agree with you Ange Abou. We have some documentation but largely incomplete. If | Has the client been informed regarding Omar last message | John Tapia Omar Zerhouni Leonardo has answered to the customer. We can close this ticket."
5672,101053189816.0,2,Members don't have access anymore,"Cintoo Cloud, Access","Hi Philippe,    Can you provide the URL they are logging into. Also is this happening to all project"
5670,101037953612.0,2,FW: Worley UK PO: iM-5000150963- CINTOO SAS,,"Simon Shaw      Hello Simon,     Invoice sent  Follow-up sales & Orion adjusted | Thomas Corvazier      FYE, the customer has renewed his custom branding"
5668,101026576803.0,2,TR: Cintoo Statistics for Lingen Project,"Cintoo Cloud, Admin, Usage Report","Tatiana Samusina Can we add this new request on Usage Report to the ones already listed? What is the | At the moment the only thing we can provide is the data included in the project report  It's not pos | João-Carlos Pereira Fialho it's indeed impossible to give such metrics at the moment.  Even if we co | Cyril Deguet Thomas Corvazier Thanks for you replies, i will convince customer that he can use the n | Hi Kingsley,   ​   Unfortunately, we have not the session duration information in our DB.  At the mo"
5667,101037953612.0,2,PO037094,"Billing, Purchase Order","Thank you Sandy,

Can you please send us the following information about the end user so we can pr | Hi Daniel,


Please find the details below :

Customer Name: Stephen Waters

Email address: s | Hello Sandy,

Thank you, we have processed your PO and your customer can now access our platform. | Daniel Chamorro      Hello,  Orion adjusted     Can you check the PO with UPG. I think they' ve doub | Yes, I will check on this.

Best regards,
Daniel

 | Hello Sandy,

Could you please re-issue this PO without the additional discount? The items have a  | Hi Daniel,

Amended PO attached


Thanks
Sandy

 | Hello Caroline,

Attached is the updated PO from UPG with the correction.
Please upgrade the acco | Thank you Sandy.

Best regards,

Daniel Chamorro
Channel Manager | Business Development
[cid:i | Daniel Chamorro      Invoice sent"
5664,101021676703.0,1,Model importer failure #2 - Disney,"Import Model, Cintoo Cloud","Omar Zerhouni, I updated the title (to distinguish somehow one ticket from others …)  Nicholas Czarn | Hi Jeremy,     Our team was notified of a failed model import that you tried uploading to Cintoo:  F | Thank you. It appears the models were just recently created and it doesn’t appear the designers have"
5663,101021676703.0,1,Model importer failure - Tetra Tech,"Import Model, Cintoo Cloud","Omar Zerhouni, I added the company name in the title (to distinguish somehow one ticket from others  | Ange Abou Omar Zerhouni Thanks guys, I will contact this customer | ​Hi Daniel,     Our team was notified of a failed model import that you tried uploading to Cintoo:   | Hi Nicholas,

I did figure out the issue and resolved it.


Best regards,
Daniel Voinescu

"
5662,101021676703.0,1,Model importer fail - Goodyear,"Import Model, Cintoo Cloud","Omar Zerhouni, I added the company name in the title (to distinguish somehow one ticket from others  | Hi Jeremy,    We recieved another Cintoo model import failure for a file named: Delivery_Goodyear To | Interesting as I am not familiar with this file. I’d like to know more about who tried to import it  | Omar Zerhouni We may have the wrong contact for this model importer fail. Can we check the user who  | Oh yes, sorry Nicholas Czarnick. I double checked, I got a mismatch with the logs. the right user is | Omar Zerhouni No problem! I will follow up with Matthew from Goodyear, and let Jeremy (Disney) know  | Hi Jeremy,      My mistake, this was sent to the wrong email. Sorry about that, please disregard.    | Tickets with IDs 5688 is merged into this ticket. | Merged from ticket 5688  
      Subject: RE: Model importer fail - Disney  
      Description:  
 Ok | Hi Matt,    We were notified about a Cintoo model import failure for a file named: Delivery_Goodyear"
5661,101053189816.0,2,Saved model state when sharing views or changing view,"Cintoo Cloud, shared viewer","Hi Clinton,    Currently, there is no way to save the model state in views so it can be returned to  | Nicholas Czarnick I am wondering if you have any other ideas  | Martial, more request about being able to save the model visibility status when sharing a view | John Tapia This is a feature request.      Currently, the only ""model state"" that can be controled a | Hi Clinton,    Currently, the only ""model state"" that can be controled and persist is whether the en | Martial Marchesseau FYI to open this feature request  | Thank You, John appreciate the quick attention to the request. I will give the suggestions a try.
 | [CP-71] Save and restore the ""viewer state"" for any 3D viewer feature - Cintoo Portfolio - Jira Prod"
5658,101037953612.0,2,FW: Subscription Cintoo,Billing,"Hi Daniel,     Invoice sent.  Follow-up sales updated  Orion extended - I'll wait for your return be"
5657,101037953612.0,2,Tetra Tech Branding,Billing,"Jason DiSalvo      Hi Jason,      We have 2 subscriptions for Tetra Tech:  - One for 5000 scans + BC | Hello,
It is for the following account account manager: Anthony Saville-Dumais and will handle the  | Jason DiSalvo      Invoice sent  Follow-up sales adjusted -   Reminder created to avoid forgetting t"
5656,101026576803.0,1,Model Importer failure,"Cintoo Cloud, Import CAD Models, DWG","Hi Mark,    Wishing you a prosperous and happy new year 2024.     Our team was notified of an Model  | Hi Joao,

 

It was just a sample 2D floor plan that I was testing with.  I found another sample | Should we close the ticket  | done"
5655,101037953612.0,2,FW: Kesko,,"@Caroline Noel<mailto:caroline.noel@cintoo.com> – any idea what the MRR is for this for this month? | Hi,

The MRR will reach $11,049 which equals to 9 954.20€*1.11 (exchange rate used in the follow u | Simon ShawPetra Doucet      Hello   the increase for January has been billed - Next month will be bi | Thank you.


Rob Rasnic
Chief Sales Officer
[cid:image002.jpg@01DA503E.5F074F80]<https://d2y2wd"
5652,101037953612.0,2,Mace - KOREC,Billing,"Daniel Chamorro      Hi Daniel,      I think Korec has all the necessary billing details to invoice  | They can just send us an invoice for the 20% referral fee and include the name of the customer in th | OK, thanks Rob.

Best regards,
Daniel




"
5650,101021676703.0,1,DPR Construction - New Additional Plans,Plan Capacity,"Thomas Corvazier This is for DevOps ticket SRE-1855     Cyril Deguet One question I have is if we re | The plan will be in over-capacity, and indeed the only impact is that they won't be able to upload m | Nicholas Czarnick Won't they want to transfer some project from main plan to new plans? because Cold | Cyril Deguet Thanks for confirming!     João-Carlos Pereira Fialho I gave Caroline a heads up on the | Cyril Deguet Thomas Corvazier Do we know when we would be able to create the (5) new plans for DPR s | I just created the new 5 plans  [SRE-1855] - Jira (atlassian.net)  | Thomas Corvazier Thank you! I've confirmed with the customer that they see the update on their side,"
5649,101037953612.0,2,FW: Completed: Complete with DocuSign: Owens Corning Add-OnProrated 6KYrCSDBCM.pdf,Billing,"Luis Graterol      Hi Luis,     tahnks for this order.  I have updated the follow-up sales & their s | Is there an update on this ticket  | Luis Graterol      Hi Luis,      Have you received any news from the customer? Do you know when we c | Luis Graterol Just wanted to check back on this ticket  | @chuck.grassley@cintoo.com      Thanks Chuck,     Invoice sent.     Can you check with the customer "
5646,101026576803.0,1,Model Importer fail,"Cintoo Cloud, 3D DWG, Import CAD Models","Guten Tag Johann,    We got a message of error when you tried to import your 3D model in Cintoo   Fi | Guten Tag,

that’s the file i tried to upload.
Thanks


Mit freundlichen Grüßen / Best Regards | Omar Zerhouni Here attached is the DWG that the customer tried to import | Omar Zerhouni João-Carlos Pereira Fialho I wanted to see where we are at with this ticket  | Omar Zerhouni I am checking back on this ticket  | Hi John Tapia,  We didn't scope this ticket yet, as we informed user about it and the case didn't ha | Just wanted to check where we are at with the ticket and to see why the DWG File is failing to impor | As there is no update from the customer for a month now. We should close it until this issue happens"
5644,101053189816.0,2,Add Cintoo Users Via Mobile Browser,"permissions, Cintoo Cloud, Account","Hi Keaton,    As you stated this is on a Mobile Browser what operating system is your mobile using. "
